slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,blocksBehindSla,bandwidthSla,supportSla
base-rpc-free-recent-state-testnet,Base,,"[""[Website](https://www.base.org/)""]",,Free,Pruned,RPC,EVM JSON-RPC,testnet,$0,$0,FALSE,FALSE,"[""NFT API"",""Token API"",""Wallet API"",""Blockchain API"",""Streams API""]","[""Rate-limited""]","[""Advanced monitoring"",""Decentralization"",""Hardened infrastructure measures""]","[""Real-time monitoring"",""Slack"",""Telegram"",""Email""]","[""Global""]",,,,,,,
blockdaemon-mainnet-dedicated-full-archive,,!offer:blockdaemon-dedicated-full-archive,"[""[Website](https://www.blockdaemon.com/base)"",""[Docs](https://docs.blockdaemon.com/docs/base-nodes)""]",,,,,,mainnet,,,,,,,,,,,,,,,,
blockdaemon-mainnet-free-full-archive,,!offer:blockdaemon-free-full-archive,"[""[Website](https://www.blockdaemon.com/base)"",""[Docs](https://docs.blockdaemon.com/reference/base-methods-rpc-api)""]",,,,,,mainnet,,,,,,,,,,,,,,,,
blockdaemon-mainnet-growth-full-archive,,!offer:blockdaemon-growth-full-archive,"[""[Buy](https://www.blockdaemon.com/api/pricing)"",""[Docs](https://docs.blockdaemon.com/reference/base-methods-rpc-api)""]",,,,,,mainnet,,,,,,,,,,,,,,,,
blockdaemon-mainnet-starter-full-archive,,!offer:blockdaemon-starter-full-archive,"[""[Buy](https://www.blockdaemon.com/api/pricing)"",""[Docs](https://docs.blockdaemon.com/reference/base-methods-rpc-api)""]",,,,,,mainnet,,,,,,,,,,,,,,,,
blockdaemon-testnet-dedicated-full-archive,,!offer:blockdaemon-dedicated-full-archive,"[""[Website](https://www.blockdaemon.com/base)"",""[Docs](https://docs.blockdaemon.com/docs/base-nodes)""]",,,,,,testnet,,,,,,,,,,,,,,,,
blockdaemon-testnet-free-full-archive,,!offer:blockdaemon-free-full-archive,"[""[Website](https://www.blockdaemon.com/base)"",""[Docs](https://docs.blockdaemon.com/reference/base-methods-rpc-api)""]",,,,,,testnet,,,,,,,,,,,,,,,,
blockdaemon-testnet-growth-full-archive,,!offer:blockdaemon-growth-full-archive,"[""[Buy](https://www.blockdaemon.com/api/pricing)"",""[Docs](https://docs.blockdaemon.com/reference/base-methods-rpc-api)""]",,,,,,testnet,,,,,,,,,,,,,,,,
blockdaemon-testnet-starter-full-archive,,!offer:blockdaemon-starter-full-archive,"[""[Buy](https://www.blockdaemon.com/api/pricing)"",""[Docs](https://docs.blockdaemon.com/reference/base-methods-rpc-api)""]",,,,,,testnet,,,,,,,,,,,,,,,,
blockeden-mainnet-basic-recent-state,,!offer:blockeden-basic-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,
blockeden-mainnet-enterprise-50-recent-state,,!offer:blockeden-enterprise-50-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,
blockeden-mainnet-enterprise-500-recent-state,,!offer:blockeden-enterprise-500-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,
blockeden-mainnet-free-recent-state,,!offer:blockeden-free-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,
blockeden-mainnet-pro-recent-state,,!offer:blockeden-pro-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,
blockeden-testnet-basic-recent-state,,!offer:blockeden-basic-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,
blockeden-testnet-enterprise-50-recent-state,,!offer:blockeden-enterprise-50-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,
blockeden-testnet-enterprise-500-recent-state,,!offer:blockeden-enterprise-500-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,
blockeden-testnet-free-recent-state,,!offer:blockeden-free-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,
blockeden-testnet-pro-recent-state,,!offer:blockeden-pro-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,
blockpi-mainnet-dedicated-full-archive,,!offer:blockpi-dedicated-full-archive,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/base)""]",,,,,,mainnet,,,,,,,,,,,,,,,,
blockpi-mainnet-dedicated-recent-state,,!offer:blockpi-dedicated-recent-state,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/base)""]",,,,,,mainnet,,,,,,,,,,,,,,,,
blockpi-mainnet-elementary-full-archive,,!offer:blockpi-elementary-full-archive,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/base)""]",,,,,,mainnet,,,,,,,,,,,,,,,,
blockpi-mainnet-elementary-recent-state,,!offer:blockpi-elementary-recent-state,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/base)""]",,,,,,mainnet,,,,,,,,,,,,,,,,
blockpi-mainnet-free-full-archive,,!offer:blockpi-free-full-archive,"[""[Website](https://blockpi.io/chain/base/)"",""[Docs](https://docs.blockpi.io/build/api-reference/base)""]",,,,,,mainnet,,,,,,,,,,,,,,,,
blockpi-mainnet-free-recent-state,,!offer:blockpi-free-recent-state,"[""[Website](https://blockpi.io/chain/base/)"",""[Docs](https://docs.blockpi.io/build/api-reference/base)""]",,,,,,mainnet,,,,,,,,,,,,,,,,
blockpi-mainnet-pay-as-you-go-full-archive,,!offer:blockpi-pay-as-you-go-full-archive,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/base)""]",,,,,,mainnet,,,,,,,,,,,,,,,,
blockpi-mainnet-pay-as-you-go-recent-state,,!offer:blockpi-pay-as-you-go-recent-state,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/base)""]",,,,,,mainnet,,,,,,,,,,,,,,,,
blockpi-mainnet-premium-full-archive,,!offer:blockpi-premium-full-archive,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/base)""]",,,,,,mainnet,,,,,,,,,,,,,,,,
blockpi-mainnet-premium-recent-state,,!offer:blockpi-premium-recent-state,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/base)""]",,,,,,mainnet,,,,,,,,,,,,,,,,
blockpi-testnet-dedicated-full-archive,,!offer:blockpi-dedicated-full-archive,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/base)""]",,,,,,testnet,,,,,,,,,,,,,,,,
blockpi-testnet-dedicated-recent-state,,!offer:blockpi-dedicated-recent-state,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/base)""]",,,,,,testnet,,,,,,,,,,,,,,,,
blockpi-testnet-elementary-full-archive,,!offer:blockpi-elementary-full-archive,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/base)""]",,,,,,testnet,,,,,,,,,,,,,,,,
blockpi-testnet-elementary-recent-state,,!offer:blockpi-elementary-recent-state,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/base)""]",,,,,,testnet,,,,,,,,,,,,,,,,
blockpi-testnet-free-full-archive,,!offer:blockpi-free-full-archive,"[""[Website](https://blockpi.io/chain/base/)"",""[Docs](https://docs.blockpi.io/)""]",,,,,,testnet,,,,,,,,,,,,,,,,
blockpi-testnet-free-recent-state,,!offer:blockpi-free-recent-state,"[""[Website](https://blockpi.io/chain/base/)"",""[Docs](https://docs.blockpi.io/)""]",,,,,,testnet,,,,,,,,,,,,,,,,
blockpi-testnet-pay-as-you-go-full-archive,,!offer:blockpi-pay-as-you-go-full-archive,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/base)""]",,,,,,testnet,,,,,,,,,,,,,,,,
blockpi-testnet-pay-as-you-go-recent-state,,!offer:blockpi-pay-as-you-go-recent-state,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/base)""]",,,,,,testnet,,,,,,,,,,,,,,,,
blockpi-testnet-premium-full-archive,,!offer:blockpi-premium-full-archive,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/base)""]",,,,,,testnet,,,,,,,,,,,,,,,,
blockpi-testnet-premium-recent-state,,!offer:blockpi-premium-recent-state,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/base)""]",,,,,,testnet,,,,,,,,,,,,,,,,
chain-love-mainnet-free-indexer,,!offer:chain-love-free-indexer,"[""[Website](https://base.chain.love/graph/15)"",""[Docs](https://chain-love.gitbook.io/chain-love-docs/blockchains/base)""]",,,,,,mainnet,,,,,,,,,,,,,,,,
chainbase-mainnet-developer-custom,,!offer:chainbase-developer-custom,"[""[Buy](https://platform.chainbase.com/pricing)"",""[Docs](https://docs.chainbase.com/catalog/Base/Overview#overview)""]",,,,,,mainnet,,,,,,,,,,,,,,,,
chainbase-mainnet-free-custom,,!offer:chainbase-free-custom,"[""[Website](https://platform.chainbase.com/chainNetwork/Base)"",""[Docs](https://docs.chainbase.com/catalog/Base/Overview#overview)""]",,,,,,mainnet,,,,,,,,,,,,,,,,
chainnodes-mainnet-free-full-archive,,!offer:chainnodes-free-full-archive,"[""[Website](https://www.chainnodes.org/chains/base)"",""[Docs](https://www.chainnodes.org/docs)""]",,,,,,mainnet,,,,,,,,,,,,,,,,
chainnodes-mainnet-pay-as-you-go-full-archive,,!offer:chainnodes-pay-as-you-go-full-archive,"[""[Buy](https://www.chainnodes.org/pricing)"",""[Docs](https://www.chainnodes.org/docs)""]",,,,,,mainnet,,,,,,,,,,,,,,,,
chainstack-mainnet-business-full-archive,,!offer:chainstack-business-full-archive,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/reference/base-api-reference#getting-started-base)""]",,,,,,mainnet,,,,,,,,,,,,,,,,
chainstack-mainnet-business-recent-state,,!offer:chainstack-business-recent-state,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/reference/base-api-reference#getting-started-base)""]",,,,,,mainnet,,,,,,,,,,,,,,,,
chainstack-mainnet-developer-recent-state,,!offer:chainstack-developer-recent-state,"[""[Website](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/reference/base-api-reference#getting-started-base)""]",,,,,,mainnet,,,,,,,,,,,,,,,,
chainstack-mainnet-growth-full-archive,,!offer:chainstack-growth-full-archive,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/reference/base-api-reference#getting-started-base)""]",,,,,,mainnet,,,,,,,,,,,,,,,,
chainstack-mainnet-growth-recent-state,,!offer:chainstack-growth-recent-state,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/reference/base-api-reference#getting-started-base)""]",,,,,,mainnet,,,,,,,,,,,,,,,,
chainstack-mainnet-pro-full-archive,,!offer:chainstack-pro-full-archive,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/reference/base-api-reference#getting-started-base)""]",,,,,,mainnet,,,,,,,,,,,,,,,,
chainstack-mainnet-pro-recent-state,,!offer:chainstack-pro-recent-state,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/reference/base-api-reference#getting-started-base)""]",,,,,,mainnet,,,,,,,,,,,,,,,,
chainstack-testnet-business-full-archive,,!offer:chainstack-business-full-archive,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/reference/base-api-reference#getting-started-base)""]",,,,,,testnet,,,,,,,,,,,,,,,,
chainstack-testnet-business-recent-state,,!offer:chainstack-business-recent-state,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/reference/base-api-reference#getting-started-base)""]",,,,,,testnet,,,,,,,,,,,,,,,,
chainstack-testnet-developer-recent-state,,!offer:chainstack-developer-recent-state,"[""[Website](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/reference/base-api-reference#getting-started-base)""]",,,,,,testnet,,,,,,,,,,,,,,,,
chainstack-testnet-growth-full-archive,,!offer:chainstack-growth-full-archive,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/reference/base-api-reference#getting-started-base)""]",,,,,,testnet,,,,,,,,,,,,,,,,
chainstack-testnet-growth-recent-state,,!offer:chainstack-growth-recent-state,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/reference/base-api-reference#getting-started-base)""]",,,,,,testnet,,,,,,,,,,,,,,,,
chainstack-testnet-pro-full-archive,,!offer:chainstack-pro-full-archive,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/reference/base-api-reference#getting-started-base)""]",,,,,,testnet,,,,,,,,,,,,,,,,
chainstack-testnet-pro-recent-state,,!offer:chainstack-pro-recent-state,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/reference/base-api-reference#getting-started-base)""]",,,,,,testnet,,,,,,,,,,,,,,,,
crypto-apis-mainnet-dedicated-full-archive,,!offer:crypto-apis-dedicated-full-archive,,,,,,,mainnet,$421,,,,,,,,,,,,,,,
crypto-apis-mainnet-dedicated-recent-state,,!offer:crypto-apis-dedicated-recent-state,,,,,,,mainnet,$421,,,,,,,,,,,,,,,
crypto-apis-mainnet-free-full-archive,,!offer:crypto-apis-free-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,
crypto-apis-mainnet-free-recent-state,,!offer:crypto-apis-free-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,
crypto-apis-mainnet-pro-full-archive,,!offer:crypto-apis-pro-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,
crypto-apis-mainnet-pro-recent-state,,!offer:crypto-apis-pro-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,
crypto-apis-mainnet-scale-full-archive,,!offer:crypto-apis-scale-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,
crypto-apis-mainnet-scale-recent-state,,!offer:crypto-apis-scale-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,
crypto-apis-mainnet-starter-full-archive,,!offer:crypto-apis-starter-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,
crypto-apis-mainnet-starter-recent-state,,!offer:crypto-apis-starter-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,
dipdup-mainnet-free-indexer,,!offer:dipdup-free-indexer,"[""[Website](https://dipdup.io/)"",""[Docs](https://dipdup.io/docs/supported-networks/base)""]",,,,,,mainnet,,,,,,,,,,,,,,,,
dipdup-testnet-free-indexer,,!offer:dipdup-free-indexer,"[""[Website](https://dipdup.io/)"",""[Docs](https://dipdup.io/docs/supported-networks/base#base-sepolia)""]",,,,,,testnet,,,,,,,,,,,,,,,,
drpc-mainnet-free-full-archive,,!offer:drpc-free-full-archive,"[""[Website](https://drpc.org/chainlist/base-mainnet-rpc)"",""[Docs](https://drpc.org/docs/base-api)""]",,,,,,mainnet,,,,,,,,,,,,,,,,
drpc-mainnet-pay-as-you-go-full-archive,,!offer:drpc-pay-as-you-go-full-archive,"[""[Buy](https://drpc.org/chainlist/base-mainnet-rpc)"",""[Docs](https://drpc.org/docs/base-api)""]",,,,,,mainnet,,,,,,,,,,,,,,,,
drpc-mainnet-public-full-archive,,!offer:drpc-public-full-archive,"[""[Website](https://drpc.org/chainlist/base-mainnet-rpc)"",""[Docs](https://drpc.org/docs/base-api)""]",,,,,,mainnet,,,,,,,,,,,,,,,,
drpc-testnet-free-full-archive,,!offer:drpc-free-full-archive,"[""[Website](https://drpc.org/chainlist/base-sepolia-rpc)"",""[Docs](https://drpc.org/docs/base-api)""]",,,,,,testnet,,,,,,,,,,,,,,,,
drpc-testnet-pay-as-you-go-full-archive,,!offer:drpc-pay-as-you-go-full-archive,"[""[Buy](https://drpc.org/chainlist/base-sepolia-rpc)"",""[Docs](https://drpc.org/docs/base-api)""]",,,,,,testnet,,,,,,,,,,,,,,,,
drpc-testnet-public-full-archive,,!offer:drpc-public-full-archive,"[""[Website](https://drpc.org/chainlist/base-sepolia-rpc)"",""[Docs](https://drpc.org/docs/base-api)""]",,,,,,testnet,,,,,,,,,,,,,,,,
dwellir-mainnet-developer-full-archive,,!offer:dwellir-developer-full-archive,"[""[Buy](https://www.dwellir.com/pricing)"",""[Docs](https://www.dwellir.com/docs/base)""]",,,,,,mainnet,,,,,,,,,,,,,,,,
dwellir-mainnet-free-full-archive,,!offer:dwellir-free-full-archive,"[""[Website](https://www.dwellir.com/networks/base)"",""[Docs](https://www.dwellir.com/docs/base)""]",,,,,,mainnet,,,,,,,,,,,,,,,,
dwellir-mainnet-growth-full-archive,,!offer:dwellir-growth-full-archive,"[""[Buy](https://www.dwellir.com/pricing)"",""[Docs](https://www.dwellir.com/docs/base)""]",,,,,,mainnet,,,,,,,,,,,,,,,,
dwellir-mainnet-scale-full-archive,,!offer:dwellir-scale-full-archive,"[""[Buy](https://www.dwellir.com/pricing)"",""[Docs](https://www.dwellir.com/docs/base)""]",,,,,,mainnet,,,,,,,,,,,,,,,,
dwellir-sepolia-developer-full-archive,,!offer:dwellir-developer-full-archive,"[""[Buy](https://www.dwellir.com/pricing)"",""[Docs](https://www.dwellir.com/docs/base)""]",,,,,,testnet,,,,,,,,,,,,,,,,
dwellir-sepolia-free-full-archive,,!offer:dwellir-free-full-archive,"[""[Website](https://www.dwellir.com/networks/base)"",""[Docs](https://www.dwellir.com/docs/base)""]",,,,,,testnet,,,,,,,,,,,,,,,,
dwellir-sepolia-growth-full-archive,,!offer:dwellir-growth-full-archive,"[""[Buy](https://www.dwellir.com/pricing)"",""[Docs](https://www.dwellir.com/docs/base)""]",,,,,,testnet,,,,,,,,,,,,,,,,
dwellir-sepolia-scale-full-archive,,!offer:dwellir-scale-full-archive,"[""[Buy](https://www.dwellir.com/pricing)"",""[Docs](https://www.dwellir.com/docs/base)""]",,,,,,testnet,,,,,,,,,,,,,,,,
envio-mainnet-free-indexer,,!offer:envio-free-indexer,"[""[Website](https://envio.dev/)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/base)""]",,,,,,mainnet,,,,,,,,,,,,,,,,
envio-mainnet-pay-as-you-go-indexer,,!offer:envio-pay-as-you-go-indexer,"[""[Buy](https://envio.dev/pricing)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/base)""]",,,,,,mainnet,,,,,,,,,,,,,,,,
envio-testnet-free-indexer,,!offer:envio-free-indexer,"[""[Website](https://envio.dev/)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/base-sepolia)""]",,,,,,testnet,,,,,,,,,,,,,,,,
envio-testnet-pay-as-you-go-indexer,,!offer:envio-pay-as-you-go-indexer,"[""[Buy](https://envio.dev/pricing)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/base-sepolia)""]",,,,,,testnet,,,,,,,,,,,,,,,,
etherscan-api-mainnet-advanced-full-archive,,!offer:etherscan-api-advanced-full-archive,"[""[Docs](https://docs.etherscan.io/supported-chains)""]",,,,,,mainnet,,,,,,,,,,,,,,,,
etherscan-api-mainnet-lite-full-archive,,!offer:etherscan-api-lite-full-archive,"[""[Docs](https://docs.etherscan.io/supported-chains)""]",,,,,,mainnet,,,,,,,,,,,,,,,,
